"id","code","name","type","user_type:id","parent_id:id","reconcile"
"ves0",0,"Vert Energy Africa (Pvt.) Ltd","View","account.data_account_type_view",,"FALSE"
"ves1",1,"Balance Sheet","View","account.data_account_type_view","ves0","FALSE"
"ves10",10,"Fixed Assets","View","account.account_type_asset_view1","ves1","FALSE"
"ves100000",100000,"Fixed Asset Account","Regular","account.account_type_asset_view1","ves10","FALSE"
"ves100100",100100,"Property,  Plant and equipment (PpandE)","View","account.account_type_asset_view1","ves10","FALSE"
"ves100111",100111,"Land and Buildings","Regular","account.data_account_type_asset","ves100100","FALSE"
"ves100112",100112,"Land and Buildings Net Value","Regular","account.data_account_type_asset","ves100111","FALSE"
"ves100113",100113,"Land and Buildings @ Cost","Regular","account.data_account_type_asset","ves100111","FALSE"
"ves100114",100114,"Land and Buildings Accumulated Depreciation","Regular","account.data_account_type_asset","ves100111","FALSE"
"ves100121",100121,"Investment Properties","Regular","account.data_account_type_asset","ves100100","FALSE"
"ves100122",100122,"Investment Properties Net Value","Regular","account.data_account_type_asset","ves100121","FALSE"
"ves100123",100123,"Investment Properties @ Cost","Regular","account.data_account_type_asset","ves100121","FALSE"
"ves100124",100124,"Investment Properties Accumulated Depreciation","Regular","account.data_account_type_asset","ves100121","FALSE"
"ves100131",100131,"Machinery and Tools","Regular","account.data_account_type_asset","ves100100","FALSE"
"ves100132",100132,"Machinery and Tools Net Value","Regular","account.data_account_type_asset","ves100131","FALSE"
"ves100133",100133,"Machinery and Tools @ Cost","Regular","account.data_account_type_asset","ves100131","FALSE"
"ves100134",100134,"Machinery and Tools Accumulated Depreciation","Regular","account.data_account_type_asset","ves100131","FALSE"
"ves100141",100141,"Motor Vehicles","Regular","account.data_account_type_asset","ves100100","FALSE"
"ves100142",100142,"Motor Vehicles Net Value","Regular","account.data_account_type_asset","ves100141","FALSE"
"ves100143",100143,"Motor Vehicles @ Cost","Regular","account.data_account_type_asset","ves100141","FALSE"
"ves100144",100144,"Motor Vehicles Accumulated Depreciation","Regular","account.data_account_type_asset","ves100141","FALSE"
"ves100151",100151,"Warehouse Delivery Equipment","Regular","account.data_account_type_asset","ves100100","FALSE"
"ves100152",100152,"Warehouse Delivery Equipment Net Value","Regular","account.data_account_type_asset","ves100151","FALSE"
"ves100153",100153,"Warehouse Delivery Equipment @ Cost","Regular","account.data_account_type_asset","ves100151","FALSE"
"ves100154",100154,"Warehouse Delivery Equipment Accumulated Depreciation","Regular","account.data_account_type_asset","ves100151","FALSE"
"ves100161",100161,"Furniture and fixtures","Regular","account.data_account_type_asset","ves100100","FALSE"
"ves100162",100162,"Furniture and fixtures Net Value","Regular","account.data_account_type_asset","ves100161","FALSE"
"ves100163",100163,"Furniture and fixtures @ Cost","Regular","account.data_account_type_asset","ves100161","FALSE"
"ves100164",100164,"Furniture and fixtures Accumulated Depreciation","Regular","account.data_account_type_asset","ves100161","FALSE"
"ves100171",100171,"Information systems (Hardware)","Regular","account.data_account_type_asset","ves100100","FALSE"
"ves100172",100172,"Information systems (Hardware) Net Value","Regular","account.data_account_type_asset","ves100171","FALSE"
"ves100173",100173,"Information systems (Hardware) @ Cost","Regular","account.data_account_type_asset","ves100171","FALSE"
"ves100174",100174,"Information systems (Hardware) Accumulated Depreciation","Regular","account.data_account_type_asset","ves100171","FALSE"
"ves100181",100181,"Information systems (Software)","Regular","account.data_account_type_asset","ves100100","FALSE"
"ves100182",100182,"Information systems (Software) Net Value","Regular","account.data_account_type_asset","ves100181","FALSE"
"ves100183",100183,"Information systems (Software) @ Cost","Regular","account.data_account_type_asset","ves100181","FALSE"
"ves100184",100184,"Information systems (Software)) Accumulated Depreciation","Regular","account.data_account_type_asset","ves100181","FALSE"
"ves100200",100200,"Assets to be disposed of","Regular","account.data_account_type_asset","ves100100","FALSE"
"ves11",11,"Net Current Assets","View","account.account_type_asset_view1","ves1","FALSE"
"ves110",110,"Current Assets","View","account.account_type_asset_view1","ves11","FALSE"
"ves110100",110100,"Purchased Stocks (Inventory)","Regular","account.data_account_type_asset","ves110","FALSE"
"ves110110",110110,"Purchased Stocks (Goods In Transit)","Regular","account.data_account_type_asset","ves110","FALSE"
"ves110200",110200,"Debtors (Receivables)","Receivable","account.data_account_type_receivable","ves110","FALSE"
"ves110210",110210,"Staff Loans ","Regular","account.data_account_type_asset","ves110","FALSE"
"ves110300",110300,"Tax Paid","Regular","account.data_account_type_asset","ves110","FALSE"
"ves1104",1104,"Bank All Accounts","View","account.account_type_asset_view1","ves110","FALSE"
"ves110401",110401,"Cash (Not Banked)","Liquidity","account.data_account_type_cash","ves110","FALSE"
"ves110402",110402,"Bank ( F.N.B)","View","account.account_type_asset_view1","ves1104","FALSE"
"ves110403",110403,"First National Bank C.A. 62308623629","Liquidity","account.data_account_type_bank","ves110402","FALSE"
"ves110404",110404,"First National Bank M.M. 62310223821","Liquidity","account.data_account_type_bank","ves110402","FALSE"
"ves110408",110408,"Petty Cash","Liquidity","account.data_account_type_cash","ves110","FALSE"
"ves110501",110501,"Advance Payments Received","Regular","account.data_account_type_asset","ves110","FALSE"
"ves110502",110502,"Pre-Paid Expenses","Regular","account.data_account_type_asset","ves110","FALSE"
"ves110503",110503,"Deferred Tax (may be presented net)","Regular","account.data_account_type_asset","ves110","FALSE"
"ves110600",110600,"Opening Income Account","Regular","account.data_account_type_income","ves110","FALSE"
"ves12",12,"Current Liabilities","View","account.account_type_liability_view1","ves1","FALSE"
"ves120000",120000,"Creditors","Payable","account.data_account_type_payable","ves12","FALSE"
"ves120100",120100,"G R Robertson","Regular","account.data_account_type_liability","ves12","FALSE"
"ves120200",120200,"D Robertson","Regular","account.data_account_type_liability","ves12","FALSE"
"ves121000",121000,"VAT Account","Regular","account.data_account_type_liability","ves12","FALSE"
"ves121100",121100,"With Holding Taxes","Regular","account.data_account_type_liability","ves12","FALSE"
"ves121200",121200,"Deferred tax (may be presented net)","Regular","account.data_account_type_liability","ves12","FALSE"
"ves121300",121300,"PAYE,SDL, UIF Control Account","Regular","account.data_account_type_liability","ves12","FALSE"
"ves121400",121400,"Medical Aid Control Account","Regular","account.data_account_type_liability","ves12","FALSE"
"ves121500",121500,"VIP Control Account","Regular","account.data_account_type_liability","ves12","FALSE"
